Hotel id,Primary Location Segment,Trend Segment
93795103,Resort,Wellness/Eco
82003904,Small Metro/Town,Wellness/Eco
209004204,Small Metro/Town,Wellness/Eco
114218604,Suburban,Standard
46309905,Urban,Extended Stay
98439005,Resort,Wellness/Eco
72909804,Resort,Wellness/Eco
223568703,Small Metro/Town,Wellness/Eco
274793803,Resort,Wellness/Eco
50124804,Resort,Standard
47167104,Resort,Wellness/Eco
46625004,Airport,Wellness/Eco
16551003,Small Metro/Town,Standard
60659704,Resort,Lifestyle/Boutique
103286205,Resort,Wellness/Eco
23264606,Urban,Extended Stay
154649104,Resort,Wellness/Eco
50370304,Resort,Lifestyle/Boutique
19828604,Urban,Standard
361389104,Resort,Wellness/Eco
126515304,Resort,Standard
127585003,Small Metro/Town,Wellness/Eco
27928605,Urban,Lifestyle/Boutique
140767904,Resort,Wellness/Eco
227453004,Resort,Wellness/Eco
18949304,Urban,Lifestyle/Boutique
44417005,Small Metro/Town,Lifestyle/Boutique
116996704,Small Metro/Town,Wellness/Eco
224641404,Resort,Wellness/Eco
68119703,Airport,Standard
60866206,Resort,Wellness/Eco
307234403,Resort,Wellness/Eco
57126505,Resort,Wellness/Eco
50269604,Resort,Wellness/Eco
30100503,Suburban,Wellness/Eco
31819106,Resort,Wellness/Eco
91078904,Small Metro/Town,Wellness/Eco
15340404,Small Metro/Town,Lifestyle/Boutique
76054604,Suburban,Lifestyle/Boutique
135595004,Resort,Wellness/Eco
15933105,Small Metro/Town,Standard
46560104,Small Metro/Town,Standard
110542204,Small Metro/Town,Standard
52658703,Small Metro/Town,Lifestyle/Boutique
311773203,Small Metro/Town,Standard
51941406,Small Metro/Town,Wellness/Eco
135654604,Small Metro/Town,Standard
79734406,Small Metro/Town,Standard
94461006,Resort,Standard
284164403,Small Metro/Town,Wellness/Eco
15255904,Urban,Extended Stay
233525504,Resort,Wellness/Eco
373025503,Resort,Standard
346763704,Resort,Wellness/Eco
254796104,Resort,Standard
59527506,Small Metro/Town,Wellness/Eco
53140206,Resort,Wellness/Eco
377648804,Small Metro/Town,Standard
312016303,Resort,Wellness/Eco
72031303,Resort,Wellness/Eco
93748505,Resort,Wellness/Eco
